id,song_name,artist_name,explicit
1ojBtNRMzjL7ptLPZCzfRz,Thinking with My Dick (feat. Juicy J),Kevin Gates,True
4qqf1avpzRUnVowNQd1jFw,Zou bisou bisou,Gillian Hills,False
6AG2zjruUpoYu9hunhx2lg,Cash App,Louie Ray,True
0N0h5lXc4HOiLgGb9EZi8m,Rocking A Cardigan in Atlanta,lil Shordie Scott,True
3Vxc7fLBmG8vNk6G6Va9Nz,Crazy,Patsy Cline,False
6XhLvHFFGw89NbGfpINRyn,Reading Rainbow Theme Song,Reading Rainbow,False
35WdGjpHVOHLepJl543eyC,556 (Green Tip),iayze,True
3IAfUEeaXRX9s9UdKOJrFI,Envolver,Anitta,False
6WdfqDzpz3XkvMSlPVc0U8,"Nobody Like U - From ""Turning Red""",4*TOWN (From Disney and Pixar’s Turning Red),False
2AAyBZmMVZSZfgzXRYJOWQ,emo girl (feat. WILLOW),Machine Gun Kelly,True
1ZdhOMWyFR8Iv9eylMGYg2,Mount Everest,Labrinth,True
2itAOPLerxnnc8KXHMqPWu,Fantasy (feat. O.D.B.),Mariah Carey,False
59CfNbkERJ3NoTXDvoURjj,Boyfriend,Dove Cameron,True
01Lr5YepbgjXAWR9iOEyH1,Love Sosa,Chief Keef,True
2NBQmPrOEEjA8VbeWOQGxO,Drop It Like It's Hot,Snoop Dogg,True
3o9kpgkIcffx0iSwxhuNI2,Numb Little Bug,Em Beihold,False
31wphZxsLDQSmqep0cG9c5,Go - Lower & Slower,Cat Burns,True
6potEImiklXkwD9qFzpu15,Forever,Labrinth,False
3at6WxcwxONcdbvcW02OOY,Playboy,Jx.Zero,True
4msYRkezQgynuZNubvVbHk,Love You So,The King Khan & BBQ Show,False
1PNs0uGru3TcrA94kpyGnc,Do We Have A Problem?,Nicki Minaj,True
4LwU4Vp6od3Sb08CsP99GC,The Next Episode,Dr. Dre,True
5ndHl6BMrihdTqvT6Exhln,Major Bag Alert (feat. Migos),DJ Khaled,True
3USxtqRwSYz57Ewm6wWRMp,Heat Waves,Glass Animals,False
25Syi9wnfn6ZGAmiOBypPq,Motion Sickness,Phoebe Bridgers,False
3xRH6FPVtheDyNla3T1FE7,Hrs and Hrs,Muni Long,True
22sLuJYcvZOSoLLRYev1s5,Material Girl,Madonna,False
79nEEoEPY2w8EXj9hjn5oc,Ginseng Strip 2002,Yung Lean,True
2DNdEpV9UnsYjL6w1Dp1aS,That's Not My Name,The Ting Tings,False
3cqWSJzuxZCsglpaxWtosT,Before I Knew It,Mason Ramsey,False
1SH0BnKkEtLh8IcZnci79y,Howl's Moving Castle - Merry Go Round of Life,Vitamin String Quartet,False
4pCvnGkf7jveRMKHZosxxB,Edge,Rezz,False
2OZZpID4LgZ0GGm8XB99e3,Don't Forget My Love,Diplo,False
161DnLWsx1i3u1JT05lzqU,Talking to the Moon,Bruno Mars,False
3GZD6HmiNUhxXYf8Gch723,Lost,Frank Ocean,True
1caYuDcVSxd8qZBEqzrXQk,Time Machine,Muni Long,True
57TRYhuuEShbqy8Y4EnSaS,pushin P (feat. Young Thug),Gunna,False
2GPh676erhgaOyMRmQNOc6,Captain (whistle),Nutcase22,True
5Mv7yjian35AddlklJgg1v,Switch A Nigga Out,Summer Walker,True
10hMM5nsZQf66ldBlgWBfG,All For Us - from the HBO Original Series Euphoria,Labrinth,False
5Ts1DYOuouQLgzTaisxWYh,Love Grows (Where My Rosemary Goes),Edison Lighthouse,False
0hYFc3HSZHDaDzquLVRwBH,TO THE MOON,Jnr Choi,True
7CH99b2i1TXS5P8UUyWtnM,Them Changes,Thundercat,False
4DpNNXFMMxQEKl7r0ykkWA,Play Date,Melanie Martinez,True
4iwiYqzoLImJraKQ9Pf2I2,Ameno Amapiano Remix (You Wanna Bamba),Goya Menor,True
4JLBDUYSaOMPYND0iWeSWQ,Jenny (I Wanna Ruin Our Friendship),Studio Killers,False
3Lf1nGVFPEsydObkXHUu2b,Throw It Back,TarioP,True
3uCkIqD0VzQUijbs8WIizs,These Days,Nico,False
3XesraERcp2Rv9cya2WjZT,Half On a Sack,Three 6 Mafia,False
52xJxFP6TqMuO4Yt0eOkMz,We Don't Talk About Bruno,Carolina Gaitán - La Gaita,False
6NYstgyqPiI9KAFSeLiL9L,Giddy Up Let's Ride,Kinsu,True
5bvNpG6wiIEf1PA13TkTu2,Phone Down,Lost Kings,True
7DQjWFjaiPULrsqgsZueF3,If It Hadn't Been For Love,The Steeldrivers,False
1K6UrHkBFRaPTZl1AYPn7p,Dumb Crasy,So Supa,True
03xt2LxOcbaJn81ndTUsMD,Green Green Dress - bonus track,Andrew Garfield,False
5kcvBnt6DPX3AMEsCx1qDh,Happiest Year,Jaymes Young,False
5yNUgA66PbcPIJPOU2eBwR,Thank You for Being a Friend,Andrew Gold,False
2I8OJsxoaUByoURNACArMC,Rodeo,City Girls,True
4b1yxSdlumA8N4fEk4UOZp,The Family Madrigal,Stephanie Beatriz,False
5B6Kjha6RRIMWGN7zGsAaT,So Hot You're Hurting My Feelings,Caroline Polachek,False
6Jzdxguk63s6CVVXHIrQ0x,Own Brand Freestyle,FelixThe1st,True
4kKdvXD0ez7jp1296JmAts,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,False
6lYxvGBwTl1auT66s1ZBRN,Sleigh Ride,Leroy Anderson,False
4YFczV2yFMNhIuRFiGVdtZ,Pennies From Heaven - Remastered,Louis Prima,False
1Go9q6KaCpAsQ0wkZFGzY2,Chandelier,Will Paquin,True
4PDJDIdWxNN1AlnbrKkoPf,Come Over (Again),Crawlers,False
20on25jryn53hWghthWWW3,Do It To It,ACRAZE,False
5phjnA00QqNdF7oo8a6yu0,"ROLLIN N CONTROLLIN, Pt.2 (PICTURE ME)",DUSTY LOCANE,True
7ueP5u2qkdZbIPN2YA6LR0,Sail,AWOLNATION,False
5a1iz510sv2W9Dt1MvFd5R,It's Beginning to Look a Lot like Christmas,Michael Bublé,False
4fouWK6XVHhzl78KzQ1UjL,abcdefu,GAYLE,True
3XtbtOMVVBooqbcGz8UErp,Monkeys Spinning Monkeys,Kevin MacLeod,False
15HMh4yxdf4wyxSZSlOgGZ,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Amaarae,True
6tS3XVuOyu10897O3ae7bi,California Gurls,Katy Perry,False
4iN16F8JtVxG2UTzp3avGl,Smokin Out The Window,Bruno Mars,False
4RPfF29Pu7d57ynMTuBUyW,TIME IN OBLIVION,iANO,False
0BesqvlvkbU9FZMiQHrIzA,Moriré,La Factoria,False
7C0PzxbsQx59DgGVRsquwJ,Voodoo People - Pendulum Mix,The Prodigy,False
1Dp7ASSZVVOPJ85VdLpjOX,Seventeen Going Under,Sam Fender,True
2IAR0DziHCjSu16gR4ihvy,Nothing,Bruno Major,False
